标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡),面积_数值,总价_数值,单价_数值,建造年份_数值,房间数
粤海街道十年上新一手新规新房，深大南地铁口物业，专车接送,3室2厅2卫,105㎡,东南,,2028年建造,翰熙典居,南山,南山中心区,粤海街道桂庙新村东门,"主卧套房,客餐厅相连,卧室全朝南,多轨交",1066.0,101524元/㎡,105.0,1066.0,101524.0,2028.0,3.0
香蜜湖金融街新规后产品使用率,3室2厅2卫,105㎡,南,,2028年建造,新世界香蜜四季,福田,福田中心区,新闻路与香梅路交汇处,"厨卫全明,主卧套房,客餐厅相连,多轨交",1415.0,134762元/㎡,105.0,1415.0,134762.0,2028.0,3.0
后现房 联系 158 ~ 享受1371~ 优惠 1396,3室2厅2卫,129㎡,西北,,2024年建造,开云府(新房),南山,海上世界,赤湾六路东北侧,"主卧套房,厨卫全明,卧室全朝南,购物中心",1161.0,90000元/㎡,129.0,1161.0,90000.0,2024.0,3.0
前海 交通便利 有电梯 精装好房 近地铁 购物方便 近医院,3室2厅2卫,90.94㎡,北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"北,满五年,近地铁,采光较好",530.0,58281元/㎡,90.94,530.0,58281.0,1999.0,3.0
园岭中小双本部，全屋温馨精装，  楼层，出行无忧,3室2厅1卫,84.33㎡,南北,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,满五年,近地铁,采光较好",495.0,58698元/㎡,84.33,495.0,58698.0,1983.0,3.0
众孚大厦东北精装3室2厅100m）违反广告法,3室2厅2卫,100.2㎡,东北,低层(共25层),2002年建造,众孚大厦,福田,石厦,福民路139号,"东北,满五年,近地铁,采光较好",486.0,48503元/㎡,100.2,486.0,48503.0,2002.0,3.0
福田中心区，精装修正规三房，业主急售，看房方便,3室2厅1卫,88.07㎡,南,高层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",598.0,67901元/㎡,88.07,598.0,67901.0,2024.0,3.0
单价3字头 买观山系列南向  三房户型 精装修拎包入住近商场,3室2厅1卫,87㎡,南,低层(共51层),2022年建造,观山盛苑,罗湖,布心,金稻田路,"南,热门小区,房东急售,随时可看",320.0,36782元/㎡,87.0,320.0,36782.0,2022.0,3.0
电梯小高层 安静不吵 急卖 价格可谈,3室2厅2卫,90.6㎡,南北,中层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"南北,满五年,近地铁,绿化率高",498.0,54967元/㎡,90.6,498.0,54967.0,2000.0,3.0
前海电梯小高层三房，业主诚心出售,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,满五年,近地铁,绿化率高",580.0,61201元/㎡,94.77,580.0,61201.0,2004.0,3.0
业主急售！！大刀！要跳了！快来救救,3室2厅1卫,89㎡,南,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",599.0,67304元/㎡,89.0,599.0,67304.0,2024.0,3.0
园岭四房  诚心出售 价格可谈 看房方便 随时联系,4室2厅1卫,92.62㎡,南北,高层(共7层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,房东发布,满五年,近地铁",496.0,53553元/㎡,92.62,496.0,53553.0,1983.0,4.0
价格有惊喜！私聊惊喜底价！,3室2厅1卫,88.45㎡,西,低层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,采光较好",526.0,59469元/㎡,88.45,526.0,59469.0,2004.0,3.0
业主诚心出售，看房方便,2室2厅2卫,95.68㎡,西北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"西北,热门小区,房东急售,随时可看",720.0,75251元/㎡,95.68,720.0,75251.0,2009.0,2.0
