标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
粤海街道十年上新一手新规新房，深大南地铁口物业，专车接送,3室2厅2卫,105㎡,东南,,2028年建造,翰熙典居,南山,南山中心区,粤海街道桂庙新村东门,"主卧套房,客餐厅相连,卧室全朝南,多轨交",1066,101524元/㎡
香蜜湖金融街新规后产品使用率,3室2厅2卫,105㎡,南,,2028年建造,新世界香蜜四季,福田,福田中心区,新闻路与香梅路交汇处,"厨卫全明,主卧套房,客餐厅相连,多轨交",1415,134762元/㎡
后现房 联系 158 ~ 享受1371~ 优惠 1396,3室2厅2卫,129㎡,西北,,2024年建造,开云府(新房),南山,海上世界,赤湾六路东北侧,"主卧套房,厨卫全明,卧室全朝南,购物中心",1161,90000元/㎡
前海 交通便利 有电梯 精装好房 近地铁 购物方便 近医院,3室2厅2卫,90.94㎡,北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"北,满五年,近地铁,采光较好",530,58281元/㎡
园岭中小双本部，全屋温馨精装，  楼层，出行无忧,3室2厅1卫,84.33㎡,南北,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,满五年,近地铁,采光较好",495,58698元/㎡
众孚大厦东北精装3室2厅100m）违反广告法,3室2厅2卫,100.2㎡,东北,低层(共25层),2002年建造,众孚大厦,福田,石厦,福民路139号,"东北,满五年,近地铁,采光较好",486,48503元/㎡
福田中心区，精装修正规三房，业主急售，看房方便,3室2厅1卫,88.07㎡,南,高层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",598,67901元/㎡
单价3字头 买观山系列南向  三房户型 精装修拎包入住近商场,3室2厅1卫,87㎡,南,低层(共51层),2022年建造,观山盛苑,罗湖,布心,金稻田路,"南,热门小区,房东急售,随时可看",320,36782元/㎡
电梯小高层 安静不吵 急卖 价格可谈,3室2厅2卫,90.6㎡,南北,中层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"南北,满五年,近地铁,绿化率高",498,54967元/㎡
前海电梯小高层三房，业主诚心出售,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,满五年,近地铁,绿化率高",580,61201元/㎡
业主急售！！大刀！要跳了！快来救救,3室2厅1卫,89㎡,南,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",599,67304元/㎡
园岭四房  诚心出售 价格可谈 看房方便 随时联系,4室2厅1卫,92.62㎡,南北,高层(共7层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,房东发布,满五年,近地铁",496,53553元/㎡
价格有惊喜！私聊惊喜底价！,3室2厅1卫,88.45㎡,西,低层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,采光较好",526,59469元/㎡
业主诚心出售，看房方便,2室2厅2卫,95.68㎡,西北,中层(共48层),2009年建造,幸福里,罗湖,蔡屋围,宝安南路1661号,"西北,热门小区,房东急售,随时可看",720,75251元/㎡
好装两房，高楼层，看莲花山公园，精装修，业主诚心卖，看房方便,2室2厅1卫,84.79㎡,东北,高层(共32层),1997年建造,中银花园,福田,福田中心区,福中一路1006号,"东北,满五年,近地铁,车位充足",388,45761元/㎡
南山换房易！留仙洞   万科云城精装实用房,3室2厅2卫,92.18㎡,北,中层(共32层),2014年建造,万科云城(一期),南山,西丽,创科路,"北,满五年,近地铁,车位充足",396,42960元/㎡
玺悦台 中间好楼层 刚需小三居 满二   精装修 车位充足,3室2厅1卫,86㎡,南,中层(共33层),2022年建造,玺悦台,坪山,坪山,宝横路,"南,满二年,车位充足,户型方正",182,21163元/㎡
温馨两室两厅，公园环绕，地铁便捷，理想居家选择！,2室2厅1卫,72㎡,西,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"西,有电梯,近地铁,次新房",528,73334元/㎡
沙头角精装3房核心商圈海山地铁口好户型满5年,3室2厅2卫,89.31㎡,西南,中层(共26层),2016年建造,上善梧桐苑,盐田,沙头角,海山路98号,"西南,唯一住房,近地铁,绿化率高",388,43445元/㎡
近地铁 产权清晰 电梯房 购物方便 精装可拎包入住 楼层好,3室2厅2卫,117.63㎡,南北,中层(共26层),2003年建造,天健世纪花园,福田,福田中心区,福中一路1013号,"经纪人力荐,南北,热门小区,房东急售",799,67925元/㎡
业主只求一卖，非常着急了，急跺脚了,3室2厅1卫,87.26㎡,西南,中层(共30层),2009年建造,中海康城花园,龙岗,大运,清辉路149号,"西南,满五年,近地铁,车位充足",228,26129元/㎡
近地铁 满五   小区新 双卫格局 小三房 产权清晰,3室2厅2卫,86.74㎡,东,低层(共40层),2017年建造,万科公园里,布吉,南岭,樟富北路8号,"东,满五年,户型方正",298,34356元/㎡
林海山庄，正三房，厅出阳台，户型方正实用。,3室2厅1卫,90.08㎡,西南,低层(共14层),2001年建造,林海山庄,福田,下梅林,北环大道7020号,"西南,满五年,近地铁,绿化率高",465,51621元/㎡
双卫格局 车位充足 商业配套齐全 正南朝向 精装修 小三房,3室2厅2卫,98.98㎡,南,高层(共6层),2004年建造,鸿景春天,龙岗,龙岗中心城,鸿基路8号,"南,满五年,近地铁,车位充足",118,11922元/㎡
中海康城大社区楼盘！业主急出，厅出阳台视野开阔，采光佳！,3室2厅1卫,72.28㎡,北,低层(共33层),2009年建造,中海康城花园,龙岗,大运,清辉路149号,"北,满五年,近地铁,车位充足",210,29054元/㎡
择居滨河新村处，一宅揽尽人间烟火色！,3室2厅1卫,84.1㎡,东南,低层(共7层),1984年建造,滨河新村,福田,上步,东园路17号,"东南,热门小区,房东急售,随时可看",416,49465元/㎡
精装修4房，连廊地铁，诚心出,4室2厅2卫,89.56㎡,西北,高层(共32层),2016年建造,龙光玖龙玺,龙华,梅林关口,新区大道,"西北,有电梯,近地铁,车位充足",698,77937元/㎡
前海花园三期精装3房，户型方正，使用率高,3室2厅1卫,81.09㎡,西,低层(共18层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,户型方正",498,61414元/㎡
滨江新村98平60平私家院子 还有两个固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,满五年,近地铁,采光较好",469,47571元/㎡
石厦  小户型，两室一厅，临近大型公园，享受自然与生活的,2室1厅1卫,60.28㎡,西南,高层(共33层),2005年建造,星座传奇,福田,石厦,石厦北三街8号,"西南,满五年,近地铁,采光较好",450,74652元/㎡
观湖园 南向采光好 临地铁 商品房 超低密度观澜,4室2厅3卫,157㎡,南,共3层,2009年建造,观湖园,龙华,观澜,泗黎路408-1号,"南,满五年",780,49682元/㎡
绿景虹湾0距离地铁口物业，正规三房两卫，安静不吵,3室2厅2卫,87.57㎡,东,中层(共43层),2015年建造,绿景虹湾,福田,下梅林,北环大道6098号,"东,热门小区,房东急售,随时可看",635,72514元/㎡
观澜 小三房 停车方便 正规商品房 中间好楼层 朝南,3室2厅2卫,82.78㎡,南,高层(共32层),2018年建造,珑门,龙华,观澜,新丹路88号,"南,满二年,车位充足,户型方正",265,32013元/㎡
宝安航城13年次新2房 （  零） 安静看花园 价格可谈,2室1厅1卫,65.22㎡,南,中层(共13层),2013年建造,领航里程花园,宝安,领航城,航城大道6-9号,"南,满五年,近地铁",275,42165元/㎡
推窗即山景！莲花山 灯光秀，东南向MVP户型，诚售,3室2厅2卫,96.61㎡,东南,高层(共29层),1994年建造,景新花园,福田,景田北,莲花路2002号,"东南,满五年,近地铁,采光较好",498,51548元/㎡
龙华 正南朝向 低密度社区 得房率高 产权清晰 近地铁,2室2厅1卫,74㎡,南,低层(共8层),1995年建造,滢水山庄(一区),龙华,龙华,梅坂大道91号,"南,满五年,近地铁,车位充足",260,35136元/㎡
蔚蓝铂樾府精装三房，小区环境好，业主诚心卖价格还可以谈,3室2厅1卫,86.02㎡,东南,低层(共31层),2023年建造,卓越蔚蓝铂樾府,大鹏新区,葵涌,金葵东路,"东南,满二年,车位充足",182,21158元/㎡
